Ensembled Results,Labels,Error(%)
4.40532620748,4.09849023819,7.48656093969
23.5441004435,24.1462020874,2.49356665574
1.7641916275,1.59145605564,10.8539328654
21.0517578125,21.3069820404,1.19784316437
2.91220919291,2.79222011566,4.29726426571
12.8486620585,12.1169586182,6.03867243758
64.5340169271,61.3416099548,5.20430907275
57.5054575602,50.7838058472,13.2358172077
11.1745859782,10.3484210968,7.98348727463
1.78099314372,1.83494400978,2.94019140507
56.153889974,58.5372085571,4.07145923408
2.28813473384,1.91458797455,19.510556018
5.37281417847,5.0471701622,6.45201183635
78.5416717529,135.00869751,41.8247318864
0.476241866748,0.37340798974,27.5392813846
15.334236145,16.0380401611,4.38834177395
56.7084859212,85.4042053223,33.5998904185
35.1059824626,33.51770401,4.73862545024
16.000310262,14.5260810852,10.1488430926
162.11710612,155.102020264,4.5228849013
18.805006663,18.6023807526,1.08924719441
139.257100423,163.366699219,14.7579640838
24.124689738,29.0816993713,17.0451168279
5.51319122314,4.98370981216,10.6242424005
9.3657506307,11.9009990692,21.3028202403
14.3736445109,14.109790802,1.87000440053
8.8105506897,10.0455007553,12.2935640113
54.5686187744,73.7114028931,25.9699088164
41.0963083903,44.3907012939,7.42135809442
3.54630120595,3.23385190964,9.66183069127
31.8466924032,33.6449966431,5.34493808689
160.093811035,177.41947937,9.76536984353
235.087076823,262.110626221,10.3099785718
2.31992038091,2.53439998627,8.46273699965
39.6871846517,40.9960021973,3.19254921315
40.2619578044,38.2193984985,5.34429997873
48.874516805,58.0277137756,15.7738369739
21.0213546753,21.8514785767,3.79893698477
2.12079079946,1.56169605255,35.8004840951
20.2465235392,20.5294189453,1.37800006343
16.3549219767,15.7401590347,3.90569714474
0.769698301951,0.626303970814,22.8953252445
18.8171335856,16.3821086884,14.8639283476
3.59335867564,3.0902402401,16.2808842178
57.7241719564,66.1208114624,12.6989359633
19.5581804911,20.8493900299,6.19303268309
15.7976888021,14.2274885178,11.0363841261
3.29424794515,2.81295990944,17.109665662
0.955255349477,0.560959994793,70.2893893226
3.15131759644,2.45397996902,28.416598188
63.2530008952,61.4134025574,2.99543464652
27.4237518311,30.1645011902,9.08600921942
10.7608159383,8.90937995911,20.7807500377
17.0722579956,18.9198799133,9.76550552217
3.97020467122,2.77756977081,42.9380717253
9.32515907288,8.65021133423,7.80267339801
1.32443507512,1.14595198631,15.5750931054
5.07019042969,5.18073987961,2.13385447812
0.717723766963,0.554304003716,29.4819741787
12.1084022522,11.8320598602,2.3355391642
4.89680131276,5.42995023727,9.81867054416
41.1690139771,41.2260055542,0.138241812134
4.99064445496,4.54182004929,9.88203849557
29.6478729248,28.7223014832,3.22248355409
125.954772949,152.846069336,17.5937114402
0.541477123896,0.258944004774,109.109735662
67.0345458984,92.1382904053,27.2457242222
11.4038187663,11.743229866,2.89027042495
0.754788239797,0.763199985027,1.10216789772
1.98495928446,1.67980802059,18.1658415802
6.12226740519,6.12303972244,0.0126132980607
9.65915679932,8.94963932037,7.9278890863
234.394287109,237.516540527,1.31454146774
72.1884714762,100.534919739,28.1956243027
0.860834360123,0.828768014908,3.86915815259
3.18182118734,2.89174008369,10.0313684926
0.412416021029,0.383039981127,7.66918372749
3.96773560842,3.777790308,5.02794715784
173.670613607,215.160064697,19.2830631227
8.73760859172,8.23177909851,6.14483803746
62.4451141357,66.3856124878,5.9357716294
0.683574358622,0.755455970764,9.51499689244
35.3884328206,36.5926017761,3.2907442954
0.777007579803,0.484768003225,60.2844194818
47.1277516683,51.8225021362,9.05928944842
13.7400932312,20.940870285,34.386235891
142.664245605,115.821083069,23.1764043518
6.58743540446,5.63635015488,16.8741334986
27.0608139038,32.6213035583,17.0455777299
34.9380645752,33.8219032288,3.30011394949
2.19550323486,1.74908792973,25.5227480306
63.6379292806,61.8027954102,2.96933796969
5.53760083516,4.60788011551,20.1767558259
0.849317868551,0.555104017258,53.0015712634
20.9545822144,25.1992034912,16.8442676307
9.36045328776,8.3736000061,11.7852928363
29.8045603434,37.3014030457,20.0980180104
2.14497089386,2.24441194534,4.43060605204
3.80387687683,3.26502990723,16.5035844974
15.3426602681,14.6191387177,4.94913937456
48.6190948486,52.9685058594,8.21131527155
3.65104548136,3.78915023804,3.64474217166
3.54557832082,2.96329808235,19.6497356084
0.895205974579,0.701183974743,27.6706266579
96.5809631348,139.199127197,30.6166891421
112.713775635,143.538574219,21.4749232057
175.551330566,164.25050354,6.88023889291
17.5532684326,16.6908493042,5.16701764362
57.5277404785,63.6241874695,9.58196439662
86.6582234701,105.178382874,17.6083325276
7.77660624186,7.78879928589,0.156545875419
33.3687795003,35.4616012573,5.90165610913
31.6072692871,35.7464027405,11.5791607995
74.4571126302,90.2308883667,17.4815698061
0.47644162178,0.228192001581,108.789799151
9.3761622111,9.48470020294,1.14434815565
262.754597982,309.130401611,15.0020196615
15.9563115438,17.0565700531,6.45064339368
66.6864929199,69.3078918457,3.78225171185
4.41559410095,4.82771015167,8.53647045437
2.0611817042,1.7210880518,19.7603865794
45.2153167725,42.9032020569,5.38914254584
2.16180833181,2.05641412735,5.1251449334
10.2829984029,9.89192962646,3.9534124404
21.3770904541,24.0701980591,11.1885560658
80.6397501628,82.4530105591,2.19914395366
18.7004648844,17.8948326111,4.50203861006
0.653834184011,0.64943999052,0.676612705483
0.663759628932,0.533599972725,24.392740416
21.4203033447,23.6883983612,9.57470818371
17.9895680745,25.5787982941,29.6700029934
18.947614034,20.1300792694,5.87412110785
9.78294372559,10.6074590683,7.77297689676
159.468922933,222.060272217,28.1866489035
2.55238596598,2.09845995903,21.6313875802
3.47327931722,2.32444810867,49.4238268542
54.0767771403,66.9521102905,19.2306606832
8.86859003703,8.87804889679,0.106542100314
2.44455242157,1.93408203125,26.3934198277
11.1395963033,9.51651000977,17.055478236
0.761518796285,0.407519996166,86.8666086202
93.3093566895,100.295082092,6.96517242631
10.7076746623,10.3594903946,3.3610173321
2.66881084442,3.22483992577,17.2420676419
57.8516845703,55.6246910095,4.00360616908
101.336039225,136.775802612,25.9108429343
10.8282178243,10.2756204605,5.37775179527
12.6019045512,11.2322206497,12.1942396271
1.62556552887,1.52540802956,6.56594808554
20.2772013346,16.9694786072,19.4921883225
12.3787231445,13.4229097366,7.77913740455
25.355158488,21.9752006531,15.3807825841
2.11840979258,2.35423994064,10.0172520222
111.285135905,174.673171997,36.2895087823
12.5135892232,12.4341392517,0.638966396536
50.5755971273,49.4844055176,2.20512219615
68.5945790609,61.3276901245,11.8492787216
10.0465838114,9.4516210556,6.29482236263
6.69783655802,6.67593955994,0.327998746708
5.73695500692,6.09376001358,5.85525202614
28.9208068848,28.0623016357,3.05928309148
13.7106323242,14.1246709824,2.93131541725
7.78019968669,10.0976390839,22.9503092548
2.56674830119,2.36710000038,8.43429938636
0.512893676758,0.397311985493,29.0909148189
