4,5,58,38,9,2,0,
105,12,140,78,8,1,0,
92,22,51,100,3,2,0,
107,5,85,69,11,1,0,
102,3,206,89,3,2,1,
95,12,72,47,7,2,0,
80,18,66,93,4,2,1,
122,15,78,79,7,2,1,
43,7,168,85,7,2,0,
52,20,54,38,11,1,0,
60,23,139,5,5,1,0,
127,17,35,99,7,2,0,
63,3,207,5,11,1,0,
24,20,107,94,8,1,0,
95,2,126,18,7,1,0,
25,6,194,32,7,2,0,
52,11,95,7,8,2,1,
115,24,80,99,2,2,0,
117,4,73,37,2,1,0,
17,4,62,95,4,2,0,
27,16,72,88,10,2,1,
8,10,44,51,2,1,0,
77,9,131,76,3,2,1,
27,6,59,27,6,1,0,
68,3,105,97,8,1,0,
40,10,119,11,3,2,1,
9,21,76,86,1,1,0,
105,20,82,37,5,1,0,
8,18,135,38,4,2,1,
117,16,95,11,4,2,0,
9,6,211,30,11,1,0,
100,19,134,68,11,1,0,
85,3,84,7,9,1,0,
11,9,207,80,11,2,0,
98,9,161,75,4,1,0,
76,23,180,58,10,2,1,
43,24,152,33,10,1,0,
25,22,184,54,11,1,0,
60,10,58,49,7,2,1,
86,8,60,82,11,1,0,
59,4,54,46,7,2,1,
57,12,61,45,4,2,0,
126,19,97,64,4,1,0,
27,3,153,49,4,2,1,
92,13,46,39,2,1,0,
51,8,139,99,2,2,0,
10,9,183,25,3,2,0,
116,14,80,97,6,2,0,
46,23,206,38,5,2,0,
50,8,187,90,4,1,0,
39,12,188,29,2,1,0,
65,13,150,25,2,1,0,
121,4,180,50,1,1,0,
17,4,93,31,1,1,0,
92,18,84,16,1,1,0,
47,15,113,9,10,2,1,
21,10,176,84,5,2,1,
111,17,37,43,8,1,0,
67,7,155,59,11,1,0,
67,17,157,6,11,1,0,
116,14,81,71,5,2,1,
34,9,147,42,1,2,1,
88,17,58,9,8,1,0,
54,19,146,10,1,2,0,
48,1,80,94,1,2,1,
120,23,104,69,2,2,1,
102,6,153,66,11,2,0,
126,20,170,41,8,1,0,
99,8,112,29,11,2,0,
103,7,63,30,5,2,1,
55,17,56,72,7,2,1,
78,21,64,8,2,1,0,
5,23,166,70,5,1,0,
46,4,159,93,5,1,0,
43,3,123,56,7,1,0,
23,9,80,36,3,2,1,
37,11,167,80,3,2,0,
112,1,83,7,11,2,1,
75,9,129,17,11,1,0,
4,19,56,5,5,2,1,
9,11,173,38,4,2,1,
112,21,131,42,3,1,0,
80,21,61,65,2,2,0,
114,5,31,45,1,1,0,
8,12,48,66,9,1,0,
17,12,177,49,10,2,0,
104,16,98,82,5,2,1,
47,6,84,96,1,2,0,
126,4,105,17,4,1,0,
88,20,106,13,9,2,0,
67,4,210,100,5,2,1,
126,13,111,35,11,2,0,
84,11,93,10,9,1,0,
86,22,51,37,8,2,0,
97,7,190,78,4,1,0,
35,18,96,36,4,1,0,
39,3,208,84,1,2,0,
74,10,28,97,11,1,0,
61,5,98,45,4,1,0,
60,7,170,35,9,2,0,
53,15,100,77,11,2,1,
92,16,175,88,4,2,0,
4,10,72,41,3,1,0,
84,22,83,88,8,2,0,
7,1,53,77,9,1,0,
67,4,119,99,1,2,1,
107,15,143,39,5,2,1,
38,22,29,31,10,2,0,
45,1,144,78,10,2,1,
56,3,27,55,8,1,0,
105,5,195,82,2,2,1,
96,7,164,78,1,1,0,
77,12,33,47,1,1,0,
15,19,82,12,2,1,0,
4,15,65,44,9,2,1,
96,11,188,67,3,2,1,
34,20,84,51,10,2,1,
102,23,143,89,10,2,1,
35,10,73,66,9,1,0,
21,1,109,94,11,2,1,
120,6,122,20,6,1,0,
123,19,126,21,11,2,0,
98,17,125,76,3,2,1,
26,4,173,52,10,1,0,
116,20,63,75,6,2,1,
93,18,210,92,7,1,0,
65,9,168,15,7,2,1,
46,22,221,92,9,2,1,
11,8,167,35,8,2,0,
80,8,85,81,5,2,0,
42,5,142,73,4,2,1,
4,7,136,91,5,2,1,
44,18,44,92,2,1,0,
13,7,72,68,1,1,0,
107,13,39,86,10,1,0,
98,10,52,5,1,2,0,
102,4,143,69,8,1,0,
58,6,212,57,4,1,0,
91,1,124,36,3,1,0,
103,13,101,18,1,2,0,
45,18,192,60,11,2,1,
39,21,118,26,5,1,0,
51,3,208,40,11,2,1,
53,24,210,36,1,1,0,
86,20,155,36,6,2,1,
44,19,99,70,9,2,0,
27,3,75,87,4,1,0,
111,24,104,82,1,2,0,
39,4,109,47,4,1,0,
23,21,60,39,6,1,0,
72,8,120,3,6,1,0,
122,13,196,39,6,2,1,
15,20,112,82,10,2,1,
28,18,100,55,6,2,1,
60,12,171,12,10,1,0,
9,13,43,32,8,1,0,
58,11,102,71,8,2,1,
84,14,71,61,10,2,1,
14,16,213,20,9,2,1,
31,20,131,74,7,2,0,
27,1,46,11,7,2,0,
81,7,134,32,2,1,0,
26,13,180,60,1,1,0,
2,17,202,9,2,1,0,
53,13,179,3,1,2,0,
36,20,42,26,6,1,0,
100,3,96,54,9,2,1,
53,19,220,9,8,1,0,
74,14,68,75,8,1,0,
17,4,116,9,11,2,1,
65,21,91,42,6,1,0,
127,6,196,42,2,1,0,
59,9,118,55,3,1,0,
113,1,78,5,3,1,0,
46,14,74,31,5,2,1,
90,6,121,26,1,2,0,
125,20,202,48,11,1,0,
127,6,29,60,3,1,0,
59,7,146,36,7,1,0,
7,16,216,70,8,1,0,
44,18,217,12,7,2,1,
52,17,180,19,10,1,0,
103,5,178,88,11,1,0,
60,4,151,55,7,1,0,
11,16,185,73,11,2,0,
118,6,102,84,1,2,0,
4,15,191,50,6,1,0,
89,8,217,43,6,2,0,
80,16,80,11,2,2,1,
99,19,97,51,8,1,0,
29,2,199,72,11,2,1,
57,21,24,10,6,1,0,
7,21,148,85,5,1,0,
100,13,145,58,10,1,0,
25,20,216,55,11,2,1,
79,1,130,56,11,2,0,
18,12,47,5,5,1,0,
98,8,87,29,4,1,0,
27,15,25,62,6,2,1,
25,15,129,69,10,2,0,
29,5,190,90,5,2,0,
5,5,148,82,10,2,0,
78,24,215,95,9,1,0,
59,18,208,56,5,1,0,
72,15,94,98,1,2,1,
127,24,163,65,7,1,0,
36,1,78,72,5,2,0,
74,11,186,93,4,2,0,
118,11,123,30,9,2,0,
84,3,37,15,4,1,0,
76,10,198,93,5,2,0,
35,4,172,99,3,1,0,
123,10,154,63,9,1,0,
45,17,125,23,7,1,0,
118,11,218,44,9,1,0,
79,21,120,8,3,1,0,
22,15,108,47,9,2,0,
87,4,29,96,7,1,0,
104,20,186,71,9,1,0,
79,6,43,83,2,2,1,
92,17,80,86,2,2,0,
45,4,60,34,4,2,0,
45,1,146,43,2,2,0,
97,14,160,20,4,2,1,
95,14,178,62,1,1,0,
100,12,125,94,2,2,1,
99,14,46,16,7,2,0,
7,10,102,73,9,2,1,
46,13,35,12,6,2,0,
36,2,205,8,1,1,0,
121,3,152,95,2,1,0,
58,11,176,6,11,1,0,
13,9,96,14,3,1,0,
15,21,150,67,9,1,0,
93,6,146,51,10,2,0,
6,15,150,88,8,2,0,
