90,3,64,39,11,1,0,
123,3,134,54,8,2,1,
20,3,161,29,11,1,0,
128,3,87,14,7,2,1,
77,3,204,6,7,1,0,
47,3,130,87,5,1,0,
73,3,208,48,6,2,1,
105,3,208,31,7,1,0,
73,3,27,78,10,2,1,
71,3,197,24,2,2,1,
3,3,54,23,9,1,0,
65,3,71,35,6,1,0,
75,3,113,4,11,1,0,
24,3,170,95,8,1,0,
123,3,24,12,1,2,1,
80,3,77,98,10,1,0,
85,3,150,15,6,2,1,
45,3,66,57,9,2,0,
117,3,215,86,10,1,0,
117,3,154,31,10,2,1,
67,3,169,81,5,2,0,
66,3,93,77,5,1,0,
102,3,65,77,7,1,0,
18,3,118,90,1,1,0,
120,3,179,35,3,2,0,
20,3,136,11,2,2,0,
31,3,113,12,10,1,0,
37,3,133,32,2,1,0,
95,3,72,71,5,1,0,
87,3,53,34,2,2,1,
31,3,215,17,3,1,0,
125,3,87,19,1,1,0,
99,3,188,61,11,1,0,
89,3,82,7,11,1,0,
23,3,222,77,9,1,0,
46,3,119,54,3,1,0,
60,3,151,88,10,1,0,
82,3,126,94,4,1,0,
7,3,46,86,4,1,0,
19,3,50,65,10,2,0,
72,3,40,73,9,2,0,
70,3,66,24,5,1,0,
98,3,185,87,10,1,0,
105,3,106,43,2,2,0,
75,3,175,9,8,1,0,
94,3,223,70,1,2,0,
65,3,158,38,11,1,0,
103,3,200,33,1,1,0,
14,3,192,48,8,2,0,
