7,0.909906,1,38090204,
8,0.949342,1,433291536,
7,0.98132,1,793175784,
8,0.923838,1,128323072,
7,0.960423,1,310126692,
7,0.889039,1,15439272,
8,0.94299,1,409911176,
8,0.923121,1,294903760,
8,0.93179,1,389593608,
7,0.932452,1,59804340,
8,0.937405,1,32969064,
6,0.831648,1,9376512,
7,0.972215,1,328723020,
7,0.776966,1,3910116,
8,0.923356,1,35153100,
8,0.923356,1,3239070400,
3,0.985495,1,483339672,
6,0.782435,1,3470208,
6,0.782435,1,5119444512,
5,0.825805,1,1379892,
8,0.968943,1,421060008,
7,0.873002,1,33199956,
7,0.944927,1,57875800,
7,0.868354,1,26663036,
7,0.849792,1,5831148,
7,0.976744,1,514707068,
8,0.908396,1,49917420,
8,0.975971,1,463652644,
8,0.962756,1,1304397244,
8,0.964175,1,43307904,
8,0.932628,1,554437512,
7,0.978954,1,1228733064,
8,0.975903,1,1090990800,
7,0.928683,1,54917420,
7,0.933136,1,65598960,
7,0.855079,1,17816912,
8,0.906571,1,106822512,
7,0.983265,1,1000861680,
8,0.978469,1,327571824,
8,0.987433,1,640639356,
7,0.877043,1,20079408,
7,0.88442,1,19227828,
7,0.88442,1,2430913504,
7,0.88442,1,4440457952,
8,0.987585,1,637113752,
8,0.88847,1,73359556,
8,0.936785,1,76842300,
8,0.967021,1,2346608892,
7,0.976781,1,2160873900,
7,0.849128,1,11202324,
8,0.927929,1,75056808,
8,0.954557,1,1279439904,
7,0.895661,1,15854916,
8,0.943121,1,33836376,
8,0.948306,1,147446340,
8,0.962154,1,786771804,
8,0.962154,1,2411094400,
8,0.977607,1,412549512,
8,0.981369,1,421007812,
8,0.981369,1,1062998712,
8,0.98444,1,607687404,
7,0.864549,1,13009992,
8,0.986315,1,817178660,
8,0.926745,1,28212592,
8,0.934626,1,51975528,
8,0.982816,1,1031182392,
8,0.981866,1,1140506624,
8,0.87378,1,19100364,
8,0.921933,1,24074304,
8,0.921933,1,2791103992,
8,0.953713,1,137126424,
4,0.80054,1,754292,
8,0.94318,1,26610920,
