Timestamp, Memory Usage(%), PCI TX(%), PCI RX(%), Core Util, Mem Util 
15:21:57:505, 2.132265,0.000000,0.000000,0,0 
15:21:57:567, 2.132265,0.000000,0.000000,0,0 
15:21:57:609, 2.132265,0.000000,0.000000,0,0 
15:21:57:651, 2.132265,0.000000,0.000000,0,0 
15:21:57:692, 2.132265,0.000000,0.000000,0,0 
15:21:57:754, 2.132265,0.000000,0.000000,0,0 
15:21:57:796, 2.132265,0.000000,0.000000,0,0 
15:21:57:838, 2.132265,0.000000,0.000000,0,0 
15:21:57:879, 2.132265,0.000000,0.000000,0,0 
15:21:57:921, 2.132265,0.000000,0.000000,0,0 
15:21:57:963, 2.132265,0.000000,0.000000,0,0 
15:21:58:004, 2.132265,0.000000,0.000000,0,0 
15:21:58:046, 2.132265,0.000000,0.000000,0,0 
15:21:58:088, 2.132265,0.000000,0.000000,0,0 
15:21:58:129, 2.132265,0.000000,0.000000,0,0 
15:21:58:191, 2.132265,0.000000,0.000000,0,0 
15:21:58:253, 2.132265,0.000000,0.000000,0,0 
15:21:58:295, 2.132265,0.000000,0.000000,0,0 
15:21:58:337, 2.132265,0.000000,0.000000,0,0 
15:21:58:378, 2.132265,0.000000,0.000000,0,0 
15:21:58:440, 2.132265,0.000000,0.000000,0,0 
15:21:58:482, 2.132265,0.000000,0.000000,0,0 
15:21:58:524, 2.132265,0.000000,0.000000,0,0 
15:21:58:586, 2.132265,0.000000,0.000000,0,0 
15:21:58:627, 2.132265,0.000000,0.000000,0,0 
15:21:58:669, 2.132265,0.000000,0.000000,0,0 
15:21:58:711, 2.132265,0.000000,0.000000,0,0 
15:21:58:773, 2.132265,0.000000,0.000000,0,0 
15:21:58:815, 2.132265,0.000000,0.000000,0,0 
15:21:58:856, 2.132265,0.000000,0.000000,0,0 
15:21:58:918, 2.132265,0.000000,0.000000,0,0 
15:21:58:960, 2.132265,0.000000,0.000000,0,0 
15:21:58:002, 2.132265,0.000000,0.000000,0,0 
15:21:59:043, 2.132265,0.000000,0.000000,0,0 
15:21:59:105, 2.132265,0.000000,0.000000,0,0 
15:21:59:147, 2.132265,0.000000,0.000000,0,0 
15:21:59:189, 2.132265,0.000000,0.000000,0,0 
15:21:59:251, 2.132265,0.000000,0.000000,0,0 
15:21:59:292, 2.132265,0.000000,0.000000,0,0 
15:21:59:334, 2.132265,0.000000,0.000000,0,0 
15:21:59:376, 2.132265,0.000000,0.000000,0,0 
15:21:59:438, 2.132265,0.000000,0.000000,0,0 
15:21:59:479, 2.132265,0.000000,0.000000,0,0 
15:21:59:521, 2.132265,0.000000,0.000000,0,0 
15:21:59:583, 2.132265,0.000000,0.000000,0,0 
15:21:59:625, 2.132265,0.000000,0.000000,0,0 
15:21:59:666, 2.132265,0.000000,0.000000,0,0 
15:21:59:712, 2.132265,0.000000,0.000000,0,0 
